Drug,Cell,labels
682298,PC_3,0.0
141549,OVCAR_8,0.0
56410,MDA_MB_231,0.0
603077,U251,1.0
757804,IGROV1,0.0
768593,HOP_62,0.0
249910,OVCAR_5,0.0
681633,U251,1.0
719627,HOP_92,0.0
606170,UACC_257,0.0
79037,OVCAR_8,0.0
34462,TK_10,0.0
759263,786_0,1.0
603074,UACC_62,1.0
681643,SF_268,1.0
757804,T47D,1.0
95678,U251,0.0
765396,NCI_H322M,0.0
107124,SK_MEL_2,0.0
752840,NCI_H322M,1.0
768593,786_0,0.0
95382,CCRF_CEM,1.0
719276,NCI_H460,0.0
320846,HOP_62,1.0
755880,UO_31,0.0
755841,ACHN,1.0
164011,SNB_19,1.0
736624,SNB_75,0.0
320846,KM12,0.0
26271,IGROV1,0.0
32065,SK_MEL_28,0.0
610459,SR,1.0
683556,MDA_N,0.0
616348,MALME_3M,0.0
634724,SK_MEL_5,1.0
241240,MDA_MB_231,0.0
637037,MDA_MB_435,1.0
698037,NCI_ADR_RES,1.0
719276,DU_145,0.0
71261,UO_31,1.0
14229,SW_620,1.0
77213,BT_549,0.0
784722,MCF7,1.0
357704,SN12C,1.0
349174,SF_539,1.0
105132,M14,1.0
603077,ACHN,1.0
355644,IGROV1,0.0
721517,SNB_19,0.0
104800,IGROV1,0.0
176323,CAKI_1,1.0
279836,MDA_N,0.0
337766,NCI_ADR_RES,0.0
740521,IGROV1,1.0
302991,SK_MEL_2,0.0
681635,OVCAR_8,1.0
354258,OVCAR_4,0.0
34462,BT_549,0.0
63878,NCI_H23,1.0
736202,HT29,0.0
105014,M14,1.0
606170,A498,0.0
123127,A498,1.0
267469,SF_268,0.0
296934,COLO205,0.0
256927,DU_145,0.0
132313,U251,1.0
754366,COLO205,1.0
681637,SK_OV_3,0.0
337766,ACHN,0.0
1895,LOXIMVI,1.0
281612,COLO205,1.0
765396,OVCAR_4,1.0
178248,BT_549,0.0
32065,ACHN,1.0
249910,PC_3,1.0
148958,RXF_393,0.0
174121,SF_539,1.0
627168,COLO205,1.0
747856,MALME_3M,0.0
266046,M14,0.0
683555,OVCAR_5,0.0
118994,T47D,1.0
698037,HOP_62,0.0
164011,OVCAR_8,0.0
71851,HOP_92,0.0
767125,NCI_H226,0.0
1390,UACC_62,1.0
269148,UACC_62,1.0
122819,UACC_257,0.0
683558,SF_268,1.0
89201,HCC_2998,1.0
134679,DU_145,1.0
107392,NCI_H23,1.0
328410,SNB_19,1.0
1390,HCT_15,1.0
623017,HOP_62,1.0
256942,SK_OV_3,0.0
363812,MCF7,1.0
747856,OVCAR_3,1.0
736624,RPMI_8226,1.0
756660,OVCAR_5,0.0
139105,HS578T,0.0
95382,NCI_ADR_RES,0.0
94600,BT_549,0.0
351710,MDA_MB_231,0.0
8806,CAKI_1,1.0
281612,LOXIMVI,0.0
755384,SK_OV_3,1.0
6396,NCI_ADR_RES,0.0
698037,RXF_393,0.0
606170,CCRF_CEM,1.0
3088,NCI_H322M,0.0
616348,HCT_15,0.0
357704,K_562,0.0
755841,SK_MEL_5,1.0
627168,UO_31,1.0
100880,786_0,1.0
3088,A498,0.0
126771,UACC_257,0.0
352122,SNB_19,1.0
256439,HOP_62,1.0
3053,HCC_2998,0.0
95466,NCI_ADR_RES,0.0
752,HCT_116,1.0
409962,OVCAR_5,0.0
95678,SW_620,0.0
79037,UACC_62,1.0
740645,UACC_62,1.0
363812,MDA_MB_231,0.0
759857,NCI_ADR_RES,1.0
182986,MALME_3M,0.0
169780,MOLT_4,1.0
791785,HOP_92,1.0
758251,OVCAR_4,0.0
784722,IGROV1,0.0
784722,OVCAR_4,0.0
296934,SW_620,0.0
320846,A549,1.0
627168,CCRF_CEM,1.0
735037,UACC_257,0.0
639186,HCC_2998,0.0
32065,HCT_116,0.0
329680,HCT_15,0.0
759614,RXF_393,1.0
698037,HOP_92,0.0
295500,A549,1.0
104800,SK_MEL_2,0.0
754230,SF_268,1.0
758671,CAKI_1,1.0
268242,HOP_92,0.0
755,SNB_75,0.0
610459,PC_3,0.0
606869,HL_60,1.0
754771,UO_31,0.0
768593,SK_MEL_5,1.0
118994,HCT_116,1.0
759263,MCF7,1.0
681639,SN12C,1.0
8806,HOP_92,0.0
178248,OVCAR_4,0.0
89201,OVCAR_8,0.0
681645,OVCAR_4,0.0
118218,MALME_3M,0.0
9706,786_0,1.0
344007,K_562,0.0
326231,MDA_MB_435,0.0
755,BT_549,0.0
77213,OVCAR_3,0.0
710270,RPMI_8226,1.0
105132,CAKI_1,1.0
754365,SNB_75,0.0
353451,CAKI_1,0.0
344007,UO_31,1.0
681643,OVCAR_5,0.0
754771,COLO205,1.0
349174,HCT_116,0.0
246131,SF_295,1.0
789797,SK_MEL_28,0.0
329680,UACC_257,0.0
606869,HCT_116,1.0
681640,OVCAR_3,0.0
256927,EKVX,0.0
643833,SN12C,0.0
754365,SK_MEL_5,0.0
606499,OVCAR_8,1.0
702294,PC_3,1.0
694501,OVCAR_5,0.0
526598,HCC_2998,1.0
354258,RXF_393,1.0
681634,SK_MEL_28,0.0
79037,NCI_H23,0.0
725776,NCI_H322M,1.0
45388,OVCAR_3,0.0
683556,SR,1.0
138783,HOP_92,1.0
681633,OVCAR_3,0.0
656889,NCI_H322M,0.0
368390,UACC_257,0.0
755985,NCI_H322M,0.0
34462,SK_MEL_5,0.0
352299,HS578T,0.0
267469,A498,1.0
122819,HOP_92,1.0
683557,ACHN,1.0
348948,SF_295,1.0
308847,EKVX,0.0
606172,HL_60,1.0
526598,HOP_92,1.0
338947,HCC_2998,0.0
740521,SF_268,1.0
681646,MDA_MB_231,0.0
708298,HS578T,0.0
740268,MCF7,1.0
249992,NCI_H23,1.0
754230,HCT_15,1.0
267469,SF_539,1.0
757098,SN12C,1.0
241240,HS578T,0.0
681639,NCI_H522,1.0
639186,HOP_62,1.0
606869,NCI_ADR_RES,1.0
619232,MDA_MB_435,0.0
683558,UACC_257,0.0
51143,SK_OV_3,0.0
163501,MDA_MB_231,0.0
320846,K_562,0.0
9706,SK_MEL_5,0.0
104800,EKVX,0.0
683557,BT_549,0.0
603076,KM12,0.0
354258,SNB_19,0.0
681640,MDA_MB_231,0.0
118994,SK_OV_3,0.0
757098,HOP_62,0.0
79037,KM12,0.0
697887,SNB_75,1.0
141540,BT_549,1.0
218321,SK_MEL_2,0.0
143095,ACHN,1.0
758230,LOXIMVI,1.0
755985,NCI_H23,0.0
747856,SN12C,0.0
762,HL_60,1.0
143020,NCI_H226,1.0
279836,HL_60,1.0
728073,NCI_H322M,0.0
603077,SF_295,1.0
89201,BT_549,1.0
754771,786_0,1.0
9706,DU_145,1.0
762,SK_MEL_28,0.0
246131,HL_60,1.0
754366,SW_620,1.0
725776,U251,1.0
1895,NCI_H322M,0.0
757804,MALME_3M,1.0
681633,TK_10,0.0
176323,SK_MEL_5,1.0
267469,NCI_H322M,0.0
757348,HS578T,0.0
409962,786_0,1.0
709237,EKVX,0.0
56410,MDA_N,0.0
758251,TK_10,1.0
702294,HCC_2998,0.0
639186,RXF_393,0.0
134727,HOP_62,1.0
308847,786_0,1.0
758251,OVCAR_8,1.0
256439,DU_145,1.0
709237,SK_OV_3,1.0
606499,SW_620,1.0
351710,SF_268,1.0
34462,HL_60,1.0
639174,OVCAR_3,0.0
736198,MDA_MB_435,0.0
736624,NCI_H23,1.0
178248,786_0,1.0
71261,OVCAR_4,1.0
609699,HOP_62,1.0
135758,OVCAR_3,0.0
757098,NCI_H522,0.0
271674,MDA_MB_231,0.0
301739,PC_3,0.0
267469,HCT_116,1.0
145668,SF_268,1.0
366140,OVCAR_8,1.0
683556,HOP_62,1.0
56410,SK_MEL_2,0.0
618939,MDA_MB_435,0.0
364830,UO_31,1.0
683555,SK_OV_3,0.0
681641,MDA_MB_435,1.0
132313,SK_MEL_5,1.0
681633,HOP_92,0.0
366140,U251,1.0
134033,NCI_H322M,1.0
296934,SF_295,1.0
295500,EKVX,0.0
728073,HL_60,0.0
63984,HT29,0.0
755841,SN12C,1.0
721517,SF_295,0.0
737518,NCI_H522,1.0
616348,786_0,1.0
224131,SK_OV_3,0.0
143095,OVCAR_8,1.0
637037,HOP_92,1.0
1390,HCC_2998,1.0
34462,NCI_ADR_RES,0.0
89201,SF_539,1.0
287459,A549,1.0
740645,SF_268,1.0
736201,SF_295,1.0
169780,MDA_MB_231,1.0
627168,T47D,0.0
